feature,importance,rank,importance_pct,cumulative_pct
158_9,109.82447052001953,1,3.4116061122212744,3.4116061122212744
167_6,60.580387115478516,2,1.8818794935708167,5.293485605792091
167_3,56.940185546875,3,1.7687996502320644,7.062285256024155
158_5,55.08513259887695,4,1.711173968579171,8.773459224603325
291_4,47.57105255126953,5,1.4777553024407852,10.25121452704411
459_3,43.234588623046875,6,1.3430466462287376,11.594261173272848
459_15,41.45982360839844,7,1.2879150426520338,12.882176215924883
459_8,40.8557243347168,8,1.2691491996234072,14.151325415548289
167_1,40.61199188232422,9,1.261577853088414,15.412903268636704
459_14,40.484771728515625,10,1.2576258644990224,16.670529133135727
272_0,40.118690490722656,11,1.2462538543949866,17.916782987530713
397_33,39.59963607788086,12,1.2301298594506749,19.146912846981387
291_1,39.40449523925781,13,1.2240679711061369,20.370980818087524
397_0,39.19862365722656,14,1.2176727411153632,21.58865355920289
291_5,39.03084945678711,15,1.2124609746940724,22.80111453389696
272_2,38.055999755859375,16,1.182178077062657,23.983292610959616
459_9,37.77075958251953,17,1.1733173275938957,25.156609938553512
158_6,37.65532684326172,18,1.1697315052636108,26.32634144381712
397_3,37.04094696044922,19,1.1506463036368308,27.47698774745395
272_4,36.02528762817383,20,1.1190956886462158,28.596083436100166
397_26,35.439613342285156,21,1.100902202585708,29.696985638685874
459_0,35.31785202026367,22,1.097119788079417,30.79410542676529
397_24,35.101524353027344,23,1.090399748471746,31.884505175237038
397_29,34.544124603271484,24,1.0730845874314654,32.957589762668505
158_1,34.47622299194336,25,1.0709752801783565,34.028565042846864
666_0,33.637290954589844,26,1.0449145520653833,35.07347959491225
397_18,33.355613708496094,27,1.0361644819772062,36.10964407688946
167_5,33.26202392578125,28,1.0332571929801404,37.1429012698696
397_21,33.012454986572266,29,1.025504540821706,38.168405810691304
158_0,32.996124267578125,30,1.0249972405772927,39.1934030512686
272_6,32.760555267333984,31,1.0176794849143025,40.2110825361829
459_12,32.73854446411133,32,1.0169957375631544,41.22807827374606
167_2,32.372684478759766,33,1.0056306004827524,42.23370887422881
272_1,32.156761169433594,34,0.998923121918274,43.232631996147084
397_9,31.60558319091797,35,0.9818012350425901,44.21443323118967
835_0,31.420759201049805,36,0.9760598310500763,45.19049306223975
459_10,31.18533706665039,37,0.9687466376527741,46.159239699892524
459_5,30.643054962158203,38,0.9519010937273288,47.11114079361985
397_12,30.320594787597656,39,0.9418841357828044,48.05302492940266
397_32,30.256967544555664,40,0.9399076082362747,48.992932537638936
397_15,30.203824996948242,41,0.9382567790596985,49.931189316698635
459_11,30.153554916381836,42,0.9366951806899532,50.86788449738859
158_3,30.152545928955078,43,0.9366638373321752,51.804548334720764
459_4,30.07502555847168,44,0.9342557313016105,52.738804066022375
100_0,29.951475143432617,45,0.9304177401042125,53.669221806126586
397_17,29.91136932373047,46,0.9291718860701924,54.59839369219678
459_13,29.822492599487305,47,0.9264110043265658,55.52480469652335
397_6,29.237098693847656,48,0.9082262280460076,56.43303092456935
397_19,29.13971519470215,49,0.9052010903937049,57.338232014963054
291_10,29.11149024963379,50,0.904324305878775,58.24255632084183
397_28,28.91109275817871,51,0.8980991239727324,59.14065544481456
272_7,28.85059928894043,52,0.8962199445109459,60.03687538932551
158_7,28.803030014038086,53,0.894742244429695,60.9316176337552
397_5,28.437421798706055,54,0.8833849283761865,61.81500256213139
397_22,28.305252075195312,55,0.879279185508092,62.69428174763948
309_0,28.22817039489746,56,0.8768847070243873,63.57116645466387
459_7,27.99912452697754,57,0.8697695870581846,64.44093604172205
459_2,27.96269416809082,58,0.8686379081667697,65.30957394988883
397_23,27.73395347595215,59,0.8615322682331651,66.17110621812199
397_8,27.105539321899414,60,0.8420111036072736,67.01311732172927
158_2,26.87353515625,61,0.8348040865750717,67.84792140830434
167_7,26.811662673950195,62,0.832882069215982,68.68080347752033
397_31,26.680994033813477,63,0.82882295625823,69.50962643377856
